Log file created at 2014-05-01-16:05:28
1398960353.204269: executed: pan_15615, tilt_15564
1398960353.209579: executed: pan_15612, tilt_15500
1398960353.212204: executed: pan_15607, tilt_15392
1398960353.216262: executed: pan_15601, tilt_15285
1398960353.220108: executed: pan_15594, tilt_15178
1398960353.224136: executed: pan_15583, tilt_15049
1398960353.228134: executed: pan_15573, tilt_14942
1398960353.232559: executed: pan_15564, tilt_14856
1398960353.236709: executed: pan_15549, tilt_14749
1398960353.240462: executed: pan_15527, tilt_14621
1398960353.244338: executed: pan_15503, tilt_14514
1398960353.249740: executed: pan_15500, tilt_14500
1398960353.873935: executed: pan_15522, tilt_14500
1398960353.877262: executed: pan_15565, tilt_14506
1398960353.880344: executed: pan_15657, tilt_14515
1398960353.888401: executed: pan_15704, tilt_14519
1398960353.892124: executed: pan_15797, tilt_14527
1398960353.904788: executed: pan_15805, tilt_14531
1398960353.908267: executed: pan_15898, tilt_14538
1398960353.912265: executed: pan_15945, tilt_14542
1398960353.924106: executed: pan_16039, tilt_14549
1398960353.932070: executed: pan_16147, tilt_14568
1398960353.944094: executed: pan_16194, tilt_14572
1398960353.956484: executed: pan_16302, tilt_14594
1398960353.972384: executed: pan_16395, tilt_14601
1398960353.980104: executed: pan_16449, tilt_14613
1398960353.988466: executed: pan_16542, tilt_14620
1398960353.996492: executed: pan_16649, tilt_14645
1398960354.000246: executed: pan_16696, tilt_14649
1398960354.004213: executed: pan_16789, tilt_14655
1398960354.008119: executed: pan_16882, tilt_14661
1398960354.016206: executed: pan_16942, tilt_14686
1398960354.024446: executed: pan_17035, tilt_14691
1398960354.029756: executed: pan_17128, tilt_14697
1398960354.032350: executed: pan_17175, tilt_14700
1398960354.040070: executed: pan_17269, tilt_14705
1398960354.044068: executed: pan_17363, tilt_14709
1398960354.051972: executed: pan_17415, tilt_14724
1398960354.064087: executed: pan_17509, tilt_14729
1398960354.072479: executed: pan_17603, tilt_14733
1398960354.084351: executed: pan_17651, tilt_14735
1398960354.092316: executed: pan_17745, tilt_14740
1398960354.106598: executed: pan_17840, tilt_14743
1398960354.112274: executed: pan_17887, tilt_14745
1398960354.116241: executed: pan_17982, tilt_14749
1398960354.124328: executed: pan_18077, tilt_14753
1398960354.140594: executed: pan_18125, tilt_14754
1398960354.148864: executed: pan_18220, tilt_14758
1398960354.160247: executed: pan_18315, tilt_14761
1398960354.172362: executed: pan_18363, tilt_14762
1398960354.176115: executed: pan_18348, tilt_14692
1398960354.180357: executed: pan_18442, tilt_14680
1398960354.184477: executed: pan_18437, tilt_14652
1398960354.192381: executed: pan_18434, tilt_14624
1398960354.196226: executed: pan_18432, tilt_14610
1398960354.199980: executed: pan_18526, tilt_14584
1398960354.204252: executed: pan_18525, tilt_14556
1398960354.208067: executed: pan_18523, tilt_14513
1398960354.213987: executed: pan_18572, tilt_14500
1398960354.233640: executed: pan_18668, tilt_14500
1398960354.248838: executed: pan_18765, tilt_14500
1398960354.262601: executed: pan_18814, tilt_14500
1398960354.280514: executed: pan_18910, tilt_14500
1398960354.312710: executed: pan_18911, tilt_14486
1398960354.320461: executed: pan_18911, tilt_14457
1398960354.324825: executed: pan_18913, tilt_14413
1398960354.328243: executed: pan_18915, tilt_14384
1398960354.332088: executed: pan_18917, tilt_14369
1398960354.335994: executed: pan_18919, tilt_14340
1398960354.340236: executed: pan_18921, tilt_14325
1398960354.344631: executed: pan_18925, tilt_14295
1398960354.348018: executed: pan_18932, tilt_14251
1398960354.352626: executed: pan_18937, tilt_14221
1398960354.356959: executed: pan_18940, tilt_14206
1398960354.374202: executed: pan_18946, tilt_14176
1398960354.375972: executed: pan_18952, tilt_14146
1398960354.376094: executed: pan_18955, tilt_14131
1398960354.376124: executed: pan_18963, tilt_14101
1398960354.385859: executed: pan_18966, tilt_14086
1398960354.388209: executed: pan_18974, tilt_14055
1398960354.392817: executed: pan_18982, tilt_14024
1398960354.404719: executed: pan_18987, tilt_14009
1398960354.408808: executed: pan_19004, tilt_13946
1398960354.409052: executed: pan_19009, tilt_13931
1398960354.411921: executed: pan_19019, tilt_13899
1398960354.420618: executed: pan_19034, tilt_13851
1398960354.426691: executed: pan_19044, tilt_13819
1398960354.428583: executed: pan_19049, tilt_13803
1398960354.444757: executed: pan_19060, tilt_13770
1398960354.448999: executed: pan_19076, tilt_13721
1398960354.449243: executed: pan_19088, tilt_13688
1398960354.449304: executed: pan_19093, tilt_13671
1398960354.453119: executed: pan_19105, tilt_13638
1398960354.474511: executed: pan_19110, tilt_13621
1398960354.476708: executed: pan_19122, tilt_13587
1398960354.481133: executed: pan_19134, tilt_13553
1398960354.486718: executed: pan_19140, tilt_13536
1398960354.498345: executed: pan_19151, tilt_13502
1398960354.500634: executed: pan_19157, tilt_13484
1398960354.504204: executed: pan_19169, tilt_13450
1398960354.509484: executed: pan_19181, tilt_13415
1398960354.516320: executed: pan_19187, tilt_13397
1398960354.520287: executed: pan_19199, tilt_13362
1398960354.529350: executed: pan_19199, tilt_13330
1398960354.532066: executed: pan_18998, tilt_13323
1398960354.541069: executed: pan_19011, tilt_13287
1398960354.546318: executed: pan_19017, tilt_13269
1398960354.548454: executed: pan_18930, tilt_13274
1398960354.552208: executed: pan_18943, tilt_13238
1398960354.561820: executed: pan_18950, tilt_13204
1398960354.564353: executed: pan_18915, tilt_13188
1398960354.568290: executed: pan_18915, tilt_13157
1398960354.579429: executed: pan_18844, tilt_13141
1398960354.591880: executed: pan_18844, tilt_13109
1398960354.593192: executed: pan_18844, tilt_13077
1398960354.596213: executed: pan_18772, tilt_13077
1398960354.603110: executed: pan_18772, tilt_13062
